code_b10,name_b10,w_b10,code_b23,name_b23,w_b23
_0118202,Compotas,0.00998,_0119201,Alimentos para bebé,0.086587915
_0118301,Dulces,0.05395,_0118901,Otra confitería de azúcar y postres N.E.C. (No contiene cacao),0.040696279
_0118401,Helados,0.02008,_0118601,"Helado industrializado (base a leche, hielo, fruta, etc.)",0.075532458
_0119101,Salsa de tomate,0.14512,_0119304,Salsa de tomate,0.161134117
_0119101,Salsa de tomate,0.14512,_0119305,Salsa tipo Kétchup,0.040000495
_0119103,Mayonesa y mostaza,0.06549,_0119306,Mayonesa,0.089268071
_0119104,Sazonadores,0.02862,_0119303,Sazonadores y ablandadores,0.026070707
_0119105,Sal,0.05886,_0119301,Sal,0.043748879
_0119203,Chiles picantes,0.03895,_0119401,Chiles secos enteros y molidos,0.089266852
_0119301,Consomé de pollo,0.17745,_0119302,Consomé,0.121060079
_0119302,Sopas concentradas en sobre,0.13894,_0119901,Bases para sopas,0.153411009
_0119303,Sopas instantaneas,0.22911,_0119101,Sopas instantáneas,0.262391642
_0119305,Alimentos enlatados,0.22394,_0113301,Sardinas enlatadas,0.065723062
_0119305,Alimentos enlatados,0.22394,_0117901,Frijoles procesados y envasados,0.239252746
_0121101,Café instantaneo,0.19835,_0122002,Café instantáneo,0.24747433
_0121102,Otras bebidas,0.26236,_0122001,Café molido,0.169311991
_0121102,Otras bebidas,0.26236,_0118501,Pastilla de chocolate para hervir,0.050555485
_0121102,Otras bebidas,0.26236,_0123001,Té de frutas y medicinales,0.045790226
_0121201,Agua envasada,0.3389,_0125001,Agua purificada,0.385427472
_0121301,Aguas gaseosas,0.93963,_0126001,Gaseosas,1.359286259
_0121401,Polvo para refresco,0.14155,_0121002,Jugos de frutas en polvo,0.035891967
_0121402,Jugos de frutas,0.21301,_0121001,Jugos de frutas líquidos,0.347254663
_0121,"Aguas minerales, refrescos,  geaseosas y jugos de fruta",2.1788101,_0129001,Bebidas hidratantes y energizantes,0.082856665
_0118,"Azúcar, mermelada, miel, chocolate y dulces de azúcar",1.3555999,_0118301,Miel,0.021043398
_0611110,Vitaminas y minerales,0.69252,_0119902,Suplementos nutricionales,0.04502747
_1111203,Papas fritas y frituras para llevar,0.04034,_0119903,"Snacks (excluye papalinas, plataninas, yucas, malangas, etc.)",0.222452377
_01171,"Hortalizas frescas, refrigeradas o congeladas",4.0656104,_0119904,Hojas para tamales,0.025721947
_01141,Leches de todo tipo,0.72156,_0114701,Bebidas lácteas en base a leche liquida,0.062069377
_0211101,Licores varios,0.04282,_0211001,Aguardiente,0.16010849
_0211101,Licores varios,0.04282,_0211002,Whisky,0.158412716
_0213101,Cerveza,0.15639,_0213001,Cerveza (todo tipo),1.279360539
_0221101,Cigarrillos de tabaco,0.07253,_0230101,Cigarros,0.409248429
_0311101,Telas para confección de vestuario,0.07867,_0311001,Tela para ropa uso diario,0.029936732
_0312101,Pantalón de hombre,0.79139,_0312106,Pantalones de vestir para hombres (mayores de 12 años),0.081219229
_0312101,Pantalón de hombre,0.79139,_0312107,Pantalones de lona para hombres (mayores de 12 años),0.463370006
_0312102,Camisa para hombre,0.41351,_0312103,Camisas con botones para hombres (mayores de 12 años),0.159843055
_0312102,Camisa para hombre,0.41351,_0312104,Camisas tipo Polo para hombres (mayores de 12 años),0.053413369
_0312103,Traje para hombre,0.06553,_0312110,Trajes formales (incluye los trajes formales tradicionales) para hombres (mayores de 12 años),0.030984379
_0312104,Ropa deportiva para hombre,0.17061,_0312105,Playeras para hombres (mayores de 12 años),0.081313725
_0312104,Ropa deportiva para hombre,0.17061,_0312108,Pantalones largos deportivo para hombres (mayores a 12 años),0.02369077
_0312104,Ropa deportiva para hombre,0.17061,_0312109,Pantalonetas deportivas para hombres (mayores de 12 años),0.025821086
_0312105,Ropa interior y de dormir para hombre,0.14171,_0312111,Calzoncillos para hombres (mayores de 12 años),0.140596129
_0312201,Pantalón y falda para mujer,0.50875,_0312304,Pantalones de vestir de tela para mujeres (mayores de 12 años),0.061909114
_0312201,Pantalón y falda para mujer,0.50875,_0312305,Pantalones de lona para mujeres (mayores de 12 años),0.247703321
_0312201,Pantalón y falda para mujer,0.50875,_0312308,Faldas formales y casuales para mujeres (mayores de 12 años),0.058554075
_0312202,Blusa para mujer,0.68391,_0312302,Blusas formales para mujeres (mayores de 12 años),0.025409397
_0312202,Blusa para mujer,0.68391,_0312303,Blusas casuales para mujeres (mayores de 12 años),0.205940262
_0312202,Blusa para mujer,0.68391,_0312310,Prenda tradicional para mujeres (mayores de 12 años),0.261719136
_0312203,Otro vestuario de mujer,0.22983,_0312306,Vestidos formales y casuales para mujeres (mayores de 12 años),0.093302706
_0312203,Otro vestuario de mujer,0.22983,_0312307,Vestidos de fiesta para mujeres (mayores de 12 años),0.038473299
_0312203,Otro vestuario de mujer,0.22983,_0312309,Traje tradicional para mujeres (mayores de 12 años),0.59147742
_0312204,Ropa interior y de dormir para mujer,0.30877,_0312311,Calzones para mujeres (mayores de 12 años),0.184364895
_0312204,Ropa interior y de dormir para mujer,0.30877,_0312312,Sostenes para mujeres (mayores de 12 años),0.163126674
_0312301,Pantalón y pantaloneta para niño,0.274,_0312204,Pantalones de vestir para niños (mayores de 2 y menores de 12 años),0.032107855
_0312301,Pantalón y pantaloneta para niño,0.274,_0312205,Pantalones de lona para niños (mayores de 2 y menores de 12 años),0.172338229
_0312302,"Pantalón, falda y short  para niña",0.07286,_0312403,Pantalones de lona para niñas (mayores de 2 y menores de 12 años),0.098489937
_0312303,Camisa y playera para niño,0.06685,_0312202,Camisas de vestir para niños (mayores de 2 y menores de 12 años),0.059030307
_0312303,Camisa y playera para niño,0.06685,_0312203,Playeras para niños (mayores de 2 y menores de 12 años),0.036551904
_0312304,Blusa para niña,0.07299,_0312402,Blusas formales y casuales para niñas (mayores de 2 y menores de 12 años),0.068134358
_0312304,Blusa para niña,0.07299,_0312405,Prenda tradicional para niñas (mayores de 2 y menores de 12 años),0.030828734
_0312305,Vestido para niña,0.054,_0312406,Vestidos formales y casuales para niñas (mayores de 2 y menores de 12 años),0.068830985
_0312401,Pijama para bebé,0.02168,_0312504,Mamelucos y bodys para bebés (menores de 2 años),0.057177038
_0312501,Uniforme escolar,0.21075,_0312601,Uniformes escolares en general,0.049726354
_0313101,Artículos varios de vestuario,0.27892,_0312112,Calcetines para hombres (mayores de 12 años),0.089303449
_0313101,Artículos varios de vestuario,0.27892,_0312207,Calzoncillos para niños (mayores de 2 y menores de 12 años),0.050883623
_0313101,Artículos varios de vestuario,0.27892,_0312208,Calcetines para niños (mayores de 2 y menores de 12 años),0.036620238
_0313101,Artículos varios de vestuario,0.27892,_0312407,Calzones para niñas (mayores de 2 y menores de 12 años),0.04377868
_0313102,Otras prendas de vestir,0.43821,_0312101,Chumpas para hombres (mayores de 12 años),0.080875477
_0313102,Otras prendas de vestir,0.43821,_0312102,Suéteres de algodón para hombres (mayores de 12 años),0.042765093
_0313102,Otras prendas de vestir,0.43821,_0312301,"Suéteres, mañaneras para mujeres (mayores de 12 años)",0.123572903
_0313102,Otras prendas de vestir,0.43821,_0313101,Cinchos,0.051246914
_03131,Artículos varios de vestuario,0.71713,_0313102,Gorras,0.065009408
_03131,Artículos varios de vestuario,0.71713,_0312201,Chumpas y chaquetas para niños (mayores de 2 y menores de 12 años),0.050184541
_03131,Artículos varios de vestuario,0.71713,_0312206,Trajes formales (incluye los trajes formales tradicionales) para niños (mayores de 2 y menores de 12 años),0.0232959
_03131,Artículos varios de vestuario,0.71713,_0312401,"Suéteres, mañaneras para niñas (mayores de 2 y menores de 12 años)",0.033642995
_03131,Artículos varios de vestuario,0.71713,_0312404,Traje tradicional para niñas (mayores de 2 y menores de 12 años),0.085875479
_03131,Artículos varios de vestuario,0.71713,_0312501,Camisas/blusas para bebés (menores de 2 años),0.041895244
_03131,Artículos varios de vestuario,0.71713,_0312502,"Chaquetas, suéteres, abrigos para bebés (menores de 2 años)",0.010993918
_03131,Artículos varios de vestuario,0.71713,_0312503,Pantalones para bebés (menores de 2 años),0.032822814
_03131,Artículos varios de vestuario,0.71713,_0313201,Hilos,0.023804373
_0314101,Servicio de limpieza de prendas de vestir,0.04023,_0314101,Lavado,0.048040044
_0321101,Zapatos para hombre,1.06972,_0321101,Zapato acordonado para hombre,0.192649417
