code_b00,name_b00,w_b00,code_b23,name_b23,w_b23
_011111,Arroz,0.483952,_0111101,Arroz,0.522366964
_011151,Maíz,0.828818351,_0111102,Maíz,0.711087209
_011153,Harina de maíz,0.09369807,_0111201,Harina de trigo,0.055904629
_011153,Harina de maíz,0.09369807,_0111202,Harina de maíz,0.170135799
_011153,Harina de maíz,0.09369807,_0111203,Harina para atoles,0.143783212
_011121,Pan,2.826375997,_0111301,Pan,1.077537933
_011121,Pan,2.826375997,_0111302,Pan dulce,1.069826458
_011142,Productos de pastelería y repostería,0.307019002,_0111303,Galletas,0.146922489
_011141,Productos de tortillería,1.691333999,_0111304,Tortillas,3.941692351
_011142,Productos de pastelería y repostería,0.307019002,_0111305,Productos de panadería/pastelería,0.064805182
_011142,Productos de pastelería y repostería,0.307019002,_0111306,Otros productos de panadería,0.174884548
_011152,Otros cereales,0.547154,_0111401,Cereales de bolsa o caja,0.198206505
_011152,Otros cereales,0.547154,_0111402,Avena/mosh,0.087811323
_011131,Pastas frescas y secas,0.341395,_0111501,Espagueti,0.186721512
_011131,Pastas frescas y secas,0.341395,_0111502,Fideos en todas sus formas (Excepto macarrones y espagueti),0.25338584
_011131,Pastas frescas y secas,0.341395,_0111503,Chao mein,0.071823246
_011231,"Carne de aves fresca, refrigerada o congelada",2.579463999,_0112101,"Pollos, gallinas y gallos vivos",0.036286131
_011211,"Carne bovina fresca, refrigerada o congelada",3.401462999,_0112201,Carne fresca de res,2.455807926
_011221,"Carne de cerdo fresca, refrigerada o congelada",0.448869999,_0112202,Carne fresca de cerdo,0.620050441
_011231,"Carne de aves fresca, refrigerada o congelada",2.579463999,_0112203,Carne fresca de pollo,3.044390701
_011231,"Carne de aves fresca, refrigerada o congelada",2.579463999,_0112401,Menudos de pollo,0.099730665
_011211,"Carne bovina fresca, refrigerada o congelada",3.401462999,_0112402,Menudos de res,0.119783518
_011241,"Embutidos frescos o refrigerados, menudencias",0.827546999,_0112501,Salchichas y productos similares de carne,0.307670364
_011241,"Embutidos frescos o refrigerados, menudencias",0.827546999,_0112502,"Jamón (pollo, res, cerdo, mixto, etc.)",0.144916207
_011241,"Embutidos frescos o refrigerados, menudencias",0.827546999,_0112503,Longanizas y chorizos (de todo tipo),0.2914781
_011231,"Carne de aves fresca, refrigerada o congelada",2.579463999,_0112504,Medallones y milanesas de pollo,0.089201708
_0112,Carnes y embutidos,7.257343996,_0112505,"Tortas de carne (pollo, res y cerdo)",0.054496632
_011221,"Carne de cerdo fresca, refrigerada o congelada",0.448869999,_0112506,Carne de cerdo marinada,0.134718266
_011311,"Pescado fresco o seco, refrigerado o congelado, ahumano o salado",0.273838998,_0113101,"Pescado entero, fresco, refrigerado o congelado",0.316853948
_011331,"Pescados y mariscos elaborados, preservados y/o en conserva",0.037345,_0113201,Pescado seco,0.025935798
_011331,"Pescados y mariscos elaborados, preservados y/o en conserva",0.037345,_0113301,Sardinas enlatadas,0.065723062
_011321,Mariscos frescos y/o refrigerados,0.103932,_0113401,"Camarones frescos, refrigerados o congelados",0.104357402
_011411,"Leche líquida fresca, descremada, pasteurizada o esterilizada y leche preservada, condensada, evaporada o en polvo",1.268167,_0114101,Leche líquida entera,0.210339765
_011411,"Leche líquida fresca, descremada, pasteurizada o esterilizada y leche preservada, condensada, evaporada o en polvo",1.268167,_0114201,Leche líquida baja en grasas,0.026172417
_011411,"Leche líquida fresca, descremada, pasteurizada o esterilizada y leche preservada, condensada, evaporada o en polvo",1.268167,_0114301,Leche en polvo,0.230939736
_011431,Otros productos lácteos,0.524509,_0114302,Crema de leche,0.251114304
_011421,Queso,0.615333,_0114501,Queso fresco,0.602041836
_011421,Queso,0.615333,_0114502,Queso crema,0.030033955
_011421,Queso,0.615333,_0114503,Queso mozzarella,0.023041984
_011421,Queso,0.615333,_0114504,Queso seco,0.025616272
_011431,Otros productos lácteos,0.524509,_0114601,Yogur industrializado,0.063217918
_011431,Otros productos lácteos,0.524509,_0114701,Bebidas lácteas en base a leche liquida,0.062069377
_011441,Huevos,1.402536999,_0114801,Huevos de gallina,2.097248496
_011511,Aceites y vegetales,0.448788,_0115101,Aceite de origen vegetal,0.45970756
_011521,Margarinas y otras grasas,0.139082,_0115301,Margarina vegetal regular,0.047279105
_011611,Aguacates,0.153078,_0116101,Aguacates frescos,0.202591453
_011612,Bananos o guineos,0.116945,_0116102,Bananos frescos,0.164186056
_011615,Plátanos,0.173246,_0116103,Plátanos frescos,0.207385545
_011616,Otras frutas frescas,0.593082001,_0116104,Mangos,0.048618702
_011616,Otras frutas frescas,0.593082001,_0116105,Papayas frescas,0.094229329
_011616,Otras frutas frescas,0.593082001,_0116106,Piñas frescas,0.076741366
